Dataset,Cross Validation,Accuracy,F1_Score,Precisions,Recalls,Running_Time,FeatureEncoder_Time,TruePositive,FalsePositive,FalseNegative,TrueNegative
bpi_2013_closed_problems.xes.gz_Train_divide_3,5,0.3271375464684015,0.18530151390925564,0.34007208571054653,0.3271375464684015,5.145037889480591,0.018053054809570312,352,724,724,2504
bpi_2013_closed_problems.xes.gz_Train_divide_5,2,0.453551912568306,0.2838188986523743,0.4135637155481849,0.453551912568306,4.816211938858032,0.012279510498046875,664,800,800,3592
bpi_2013_closed_problems.xes.gz_Train_divide_5,3,0.40110759493670883,0.23776930451562,0.345823062624385,0.40110759493670883,4.639002323150635,0.01595616340637207,507,757,757,3035
bpi_2013_closed_problems.xes.gz_Train_divide_5,4,0.32598714416896235,0.16143424036586457,0.378494166261546,0.32598714416896235,4.7928783893585205,0.020807504653930664,355,734,734,2533
bpi_2013_closed_problems.xes.gz_Train_divide_5,5,0.3104089219330855,0.14823984449954755,0.3718889945534711,0.3104089219330855,4.8379456996917725,0.019887685775756836,334,742,742,2486
bpi_2013_closed_problems.xes.gz_Train_divide_10,2,0.453551912568306,0.2838165324964402,0.34115934396348546,0.453551912568306,4.405581712722778,0.01100778579711914,664,800,800,3592
bpi_2013_closed_problems.xes.gz_Train_divide_10,3,0.39556962025316456,0.22604921992462884,0.19455793238906902,0.39556962025316456,4.312577247619629,0.019617080688476562,500,764,764,3028
bpi_2013_closed_problems.xes.gz_Train_divide_10,4,0.325068870523416,0.15949325040234133,0.10566977058336938,0.325068870523416,4.3149213790893555,0.01364755630493164,354,735,735,2532
bpi_2013_closed_problems.xes.gz_Train_divide_10,5,0.30947955390334575,0.14628345131272413,0.09577759428421388,0.30947955390334575,4.358179807662964,0.017658710479736328,333,743,743,2485
bpi_2013_closed_problems.xes.gz_Train_log_2,2,0.45286885245901637,0.2823244468080187,0.20509019752754634,0.45286885245901637,3.19214129447937,0.005871295928955078,663,801,801,3591
bpi_2013_closed_problems.xes.gz_Train_log_2,3,0.3963607594936709,0.2250161365510812,0.15710185166639962,0.3963607594936709,3.208854913711548,0.009044170379638672,501,763,763,3029
bpi_2013_closed_problems.xes.gz_Train_log_2,4,0.325068870523416,0.15949325040234133,0.10566977058336938,0.325068870523416,3.405954360961914,0.013962030410766602,354,735,735,2532
bpi_2013_closed_problems.xes.gz_Train_log_2,5,0.30947955390334575,0.14628345131272413,0.09577759428421388,0.30947955390334575,3.533876895904541,0.008976221084594727,333,743,743,2485
bpi_2013_closed_problems.xes.gz_Train_log_3,2,0.45286885245901637,0.2823244468080187,0.20509019752754634,0.45286885245901637,2.9001593589782715,0.005984306335449219,663,801,801,3591
bpi_2013_closed_problems.xes.gz_Train_log_3,3,0.3963607594936709,0.2250161365510812,0.15710185166639962,0.3963607594936709,3.3180768489837646,0.005710601806640625,501,763,763,3029
bpi_2013_closed_problems.xes.gz_Train_log_3,4,0.325068870523416,0.15949325040234133,0.10566977058336938,0.325068870523416,3.253960132598877,0.008673667907714844,354,735,735,2532
bpi_2013_closed_problems.xes.gz_Train_log_3,5,0.30947955390334575,0.14628345131272413,0.09577759428421388,0.30947955390334575,2.971574068069458,0.00865316390991211,333,743,743,2485
bpi_2013_closed_problems.xes.gz_Train_log_5,2,0.46311475409836067,0.3163678324662296,0.3787886385938582,0.46311475409836067,2.7045059204101562,0.004986763000488281,678,786,786,3606
bpi_2013_closed_problems.xes.gz_Train_log_5,3,0.38924050632911394,0.2267198881550114,0.16694337290954447,0.38924050632911394,2.884880781173706,0.006925106048583984,492,772,772,3020
bpi_2013_closed_problems.xes.gz_Train_log_5,4,0.418732782369146,0.32810940967046104,0.43850730949986916,0.418732782369146,3.034585475921631,0.006654500961303711,456,633,633,2634
bpi_2013_closed_problems.xes.gz_Train_log_5,5,0.2732342007434944,0.22348597926801453,0.4330842092864556,0.2732342007434944,2.6703765392303467,0.006979703903198242,294,782,782,3522
bpi_2013_closed_problems.xes.gz_Train_log_10,2,0.42691256830601093,0.27369881294629467,0.22096801034071734,0.42691256830601093,2.715486526489258,0.004710197448730469,625,839,839,5017
bpi_2013_closed_problems.xes.gz_Train_log_10,3,0.3987341772151899,0.23276499167824075,0.3531530391831063,0.3987341772151899,3.031860828399658,0.007976770401000977,504,760,760,4296
bpi_2013_closed_problems.xes.gz_Train_log_10,4,0.325068870523416,0.15949325040234133,0.10566977058336938,0.325068870523416,3.446565866470337,0.005983591079711914,354,735,735,2532
bpi_2013_closed_problems.xes.gz_Train_log_10,5,0.30855018587360594,0.1459477441703278,0.09557880176363794,0.30855018587360594,2.780062437057495,0.006981372833251953,332,744,744,2484
