task,filename,control_flow_p,time_p,resource_p,data_p,transition,num_epochs,batch_size,loss
next_activity,../sample_data/Training/BPIC_2012_50RWith_Training.csv,True,True,False,False,False,200,128,0.8567298650741577
next_activity,../sample_data/Training/BPIC_2012_50RWith_Training.csv,True,True,False,False,False,200,128,0.8554359674453735
next_activity,../sample_data/Training/BPIC_2012_50RWith_Training.csv,True,True,False,False,False,200,128,0.8552192449569702
next_activity,../sample_data/Training/BPIC_2012_50RWith_Training.csv,True,True,False,False,False,200,128,0.8568517565727234
next_activity,../sample_data/Training/BPIC_2012_50RWith_Training.csv,True,True,False,False,False,200,128,0.8568050861358643
next_activity,../sample_data/Training/BPIC_2012_50RWith_Training.csv,True,True,False,False,False,200,128,0.8523463010787964
next_activity,../sample_data/Training/BPIC_2012_50RWith_Training.csv,True,True,False,False,False,200,128,0.8540102243423462
next_activity,../sample_data/Training/BPIC_2012_Statistical_Training.csv,True,True,False,False,False,200,128,0.7680831551551819
next_activity,../sample_data/Training/BPIC_2012_Statistical_Training.csv,True,True,False,False,False,200,64,0.7663099765777588
next_activity,../sample_data/Training/BPIC_2012_50RWith_Training.csv,True,True,False,False,False,200,64,0.836206316947937
next_activity,../sample_data/Training/BPIC_2012_50Penalty_Training.csv,True,True,False,False,False,200,64,0.7710790038108826
next_activity,../sample_data/Training/BPIC_2012_75Hyb_Training.csv,True,True,False,False,False,200,64,0.7551059722900391
next_activity,../sample_data/Training/BPIC_2012_25RWithout_Training.csv,True,True,False,False,False,200,64,0.7656765580177307
next_activity,../sample_data/Training/BPIC_2012_50F_Training.csv,True,True,False,False,False,200,64,0.7557017803192139
next_activity,../sample_data/Training/BPIC_2012_25Hyb_Training.csv,True,True,False,False,False,200,64,1.199272632598877
next_activity,../sample_data/Training/BPIC_2012_All_Training.csv,True,True,False,False,False,200,64,0.749947726726532
next_activity,../sample_data/Training/BPIC_2012_All_Training.csv,True,True,False,False,False,200,64,0.753282904624939
next_activity,../sample_data/Training/BPIC_2012_All_Training.csv,True,True,False,False,False,200,64,0.7594202160835266
next_activity,../sample_data/Training/BPIC_2012_001_Variant_Distributeation_Training.csv,True,True,False,False,False,200,64,2.3070192337036133
next_activity,../sample_data/Training/BPIC_2012_1_Variant_LogDistributeation_Training.csv,True,True,False,False,False,200,64,2.0400736331939697
next_activity,../sample_data/Training/BPIC_2012_unique_Variant_Training.csv,True,True,False,False,False,200,64,0.9303234219551086
